district,presidential,parliamentary
LWENGO,722,32201
SHEEMA,2083,37047
KABAROLE,1853,38112
KAGADI,2639,53137
BUTEBO,537,17528
KASSANDA,616,17728
RWAMPARA,507,0
MBALE,2074,75081
MUBENDE,1001,33603
ADJUMANI,1762,18103
KAYUNGA,1405,39782
KYENJOJO,1408,50960
KANUNGU,2241,31493
DOKOLO,2600,11779
LYANTONDE,299,17354
KYEGEGWA,797,0
OTUKE,823,15330
NAMAYINGO,1523,29486
SERERE,3118,42958
BUHWEJU,1028,11534
NAMISINDWA,1029,30160
BUGWERI,884,20309
MASINDI,4016,42796
NEBBI,2377,27993
BUGIRI,1692,23012
HOIMA,5176,25132
KOBOKO,1643,23539
BUVUMA,303,1471
KIRYANDONGO,1376,23349
NTOROKO,340,11259
KWEEN,368,2452
NAPAK,678,10575
NWOYA,1758,7080
BUNYANGABU,965,22711
OBONGI,343,0
KAZO,180,10235
KASESE,4089,37632
KIBOGA,314,4782
KITGUM,2766,17650
KOTIDO,2842,19441
LIRA,4908,27768
RUKUNGIRI,5184,8402
AMURIA,1360,4984
IBANDA,1000,36105
NAKASEKE,526,756
BUDUDA,660,16101
BULAMBULI,447,16729
KYANKWANZI,597,0
NGORA,1336,0
AGAGO,1870,36435
RUBIRIZI,949,22869
KAMULI,2732,54649
MADI OKOLLO,2197,18346
KIBAALE,662,0
LUWEERO,1321,31449
TORORO,3605,67575
BUKWO,413,17449
KAABONG,1863,12043
KIRUHURA,93,19723
BUDAKA,1613,43753
IGANGA,2202,49911
BUIKWE,1341,28540
JINJA,2319,33313
BUKOMANSIMBI,304,11339
KALUNGU,335,11555
KOLE,2288,46203
PAKWACH,1216,3380
KAPCHORWA,496,17996
KUMI,1431,0
MASAKA,534,7884
MBARARA,1950,45656
BUNDIBUGYO,785,29905
PALLISA,2162,45186
SOROTI,3243,38594
BUSIA,2970,53398
SSEMBABULE,533,39151
MAYUGE,2223,48576
GULU,2256,23856
NAKAPIRIPIRIT,231,11408
BUTALEJA,1306,30733
LAMWO,2331,5505
KABALE,1738,34056
BUTAMBALA,223,523
MITOOMA,1307,13763
NABILATUK,61,0
KWANIA,2099,9608
KAPELEBYONG,594,12187
MOYO,770,10664
MUKONO,2048,24134
BUSHENYI,2224,30413
KATAKWI,1247,23955
SIRONKO,852,13104
KABERAMAIDO,2276,20538
KALIRO,1215,28310
ABIM,487,9257
AMURU,2159,6148
OYAM,4559,26416
ZOMBO,2283,13651
GOMBA,298,9408
KAKUMIRO,1379,36395
OMORO,2258,8714
KALANGALA,175,6045
KAMPALA,4760,66679
KIKUUBE,2876,31990
KARENGA,401,6820
KISORO,1067,43947
ARUA,7378,37699
MOROTO,1330,12267
MPIGI,608,6411
KAMWENGE,508,0
WAKISO,6398,91682
YUMBE,1876,19218
BULIISA,614,15062
MARACHA,2490,32612
AMUDAT,67,14911
KIBUKU,728,23881
RUBANDA,1522,40052
RUKIGA,948,27619
KYOTERA,319,4264
APAC,1740,3548
KITAGWENDA,635,18147
NTUNGAMO,2195,43134
RAKAI,844,5275
NAKASONGOLA,478,11629
PADER,3041,18816
AMOLATAR,1607,14774
ISINGIRO,1017,67610
MITYANA,743,8810
MANAFWA,621,12764
NAMUTUMBA,1676,28683
BUKEDEA,1330,27080
BUYENDE,1643,34214
ALEBTONG,2994,19981
LUUKA,966,24059